ID_CLIENTE;CLIENTE;ENDERECO;CPF
3759651739;João da Silva;Caminho Foz do Jordão, 25 - Brasília - DF;64062518007
44257562749;Maria Souza;R. Dois de Fevereiro, 1354 - Goiânia - GO;29848483010
8268254785;Pedro Oliveira;R. Cel. Laurênio Lago, 355 - Campinas - SP;90791259055
3040980351;Ana Santos;R. Laurindo Rabêlo, 149  - Campo Grande - MS;76130194092
621950777;Lucas Pereira;R. Cinqüenta, 20  - Belo Horizonte - MG;53296768209
33726329749;Mariana Costa;Av. Meriti, 3882 - Campo Grande - MS;13572045902
9824868712;Carlos Rodrigues;R. Haddock Lobo, 17 - Salvador - BH;01728684377
2078365742;Laura Fernandes;Av. Dom Hélder Câmara, 3124 - Goiânia - GO;86259121098
9594349760;Fernando Martins;R. Fernando Esquerdo, 624 - Brasília - DF;38927046073
91988802768;Isabela Almeida;Av. Dom Hélder Câmara, 5269 - Curitiba - PR;24591273801
2379494746;Rafael Gomes;Av. Mal. Câmara, 154 - Goiânia - GO;59381647063
2373471728;Juliana Barbosa;Av. Ayrton Senna, 3799  - São Paulo - SP;41816329584
82236119704;André Lima;Av. Luís Carlos Prestes, 8 - Porto Alegre - RS;72859643029
43390129715;Beatriz Carvalho;Rua Santa Maria Rossello, 25 - Porto Alegre - RS;30691874516
29863333700;Gustavo Sousa;Praça Santos Dumont, 66 - Campinas - SP;87109234605
7053899799;Camila Ferreira;Av. Brasil, 121  - São Paulo - SP;21948697048
46619968791;Daniel Castro;R. Araújo Leitão, 48  - Campo Grande - MS;53418952706
2930317701;Lívia Santos;Praça Santos Dumont, 166  - Belo Horizonte - MG;69523714011
76815463753;Rodrigo Alves;Av. Min. Afrânio Costa, 202 - Campo Grande - MS;41265379821
31292046791;Letícia Oliveira;R. São Luiz Gonzaga, 119 - Goiânia - GO;96082435203
6964705783;Marcelo Costa;R. Manguaba, 21  - Salvador - BH;67513940288
72629274772;Manuela Rodrigues;Av. Pres. Vargas, 290 - Porto Alegre - RS;50236618940
12805717724;Matheus Almeida;R. Riachuelo, 114 - Goiânia - GO;04172895363
77842952787;Amanda Silva;R. Gonzaga Bastos, 300A - Brasília - DF;83415209629
80683215787;Vitor Pereira;R. Teodoro Sampaio, 467 - Goiânia - GO;36960782103
64113060797;Lara Carvalho;R. Canal Rio Faleiro, 35 - Campo Grande - MS;55693410847
8664533776;Guilherme Fernandes;Praça Sen. Salgado Filho, 130 - Porto Alegre - RS;22217984568
77126718772;Júlia Lima;R. Antenor Nascentes, 236  - Rio de Janeiro - RJ;08474639124
5194978723;Diego Souza;Rua Cardoso de Morais, 96 - Curitiba - PR;77421398508
64009319372;Isadora Castro;Praça Saiqui, 145 - Porto Alegre - RS;60394015861
82393222715;Ricardo Gomes;R. Carolina Machado, 1976 - Curitiba - PR;92817320490
887713777;Lorena Barbosa;Av. Lauro Sodré, 64 - Brasília - DF;16274085927
13332132717;Hugo Alves;R. Conselheiro Zenha, 68  - Belo Horizonte - MG;71501246844
49609165753;Carolina Oliveira;R. Pachêco Júnior, 2 - Curitiba - PR;49261805797
10760990760;Giovanni Costa;R. da Comunidade - Goiânia - GO;25389472035
10493761705;Valentina Rodrigues;R. Mal. Jofre, 129  - Porto Alegre - RS;80896543705
75445719715;Thiago Almeida;Rua Wilde Lustoza, 16 - Brasília - DF;64759021842
11504339738;Larissa Silva;R. Dep. José da Rocha Ribas, 227 - Campinas - SP;32540716960
38496275787;Renan Sousa;R. Barão de Itapagipe, 306 - Rio de Janeiro - RJ;09631870480
90830636749;Gabriela Carvalho;R. Moacir Campos, 75 - São Paulo - SP;78150642301
3760238300;Raphael Lima;R. Des. Izidro, 89 - Curitiba - PR;52198743610
5427963766;Carolina Ferreira;Praça da Bandeira, 179 - São Paulo - SP;67903250888
47268018720;Lucas Castro;Estr. da Água Grande, 1031 - Goiânia - GO;83971604520
7150192793;Sophia Gomes;R. Eng. Enaldo Cravo Peixoto, 280 - Niterói - RJ;57295864012
87549999791;Vinícius Fernandes;R. Dois de Fevereiro, 1321 - Brasília - DF;41523790863
99010968715;Bianca Lima;Estrada Adhemar Bebiano, 21682 - Campo Grande - MS;96347052880
25198076600;Henrique Alves;Rua Padre Ildefonso Penalba, 151 - Belo Horizonte - MG;25481067913
78623359704;Luiza Carvalho;Av. Lauro Sodré, 445 - Rio de Janeiro - RJ;17092638427
7129236752;Eduardo Gomes;Rua Padre Mário Versé, 27 - Campinas - SP;72956841300
44646550768;Alice Barbosa;Rua Adolfo Bergamini, 366 - Santos - SP;48291370657
90005511704;Emanuel Barbosa;R. Nabuco de Araújo, 583 - Campinas - SP;95120430840
84490438753;Eduarda Vasnconselos;Av. Pasteur, 493 - Brasília - DF;36458209150
